customer,total_sales,rank
BENGALURU,6849664.99,1
HYDERABAD,4946032.82,2
MUMBAI,3704461.8,3
NEW DELHI,3613874.78,4
CHENNAI,3098745.74,5
PUNE,2338518.18,6
KOLKATA,1414978.87,7
GURUGRAM,1221618.74,8
THANE,1004355.29,9
LUCKNOW,933926.34,10
NOIDA,910666.98,11
GHAZIABAD,835633.35,12
AHMEDABAD,769345.7,13
NAVI MUMBAI,754761.81,14
JAIPUR,596310.22,15
Hyderabad,569678.95,16
Mumbai,518502.89,17
PATNA,497184.05,18
FARIDABAD,459168.5,19
BHUBANESWAR,457102.4,20
VISAKHAPATNAM,451147.62,21
Bangalore,441524.62,22
Chennai,435190.67,23
COIMBATORE,423532.87,24
PIMPRI CHINCHWAD,418570.91,25
GUWAHATI,407621.23,26
Bengaluru,401238.81,27
Pune,397735.13,28
NAGPUR,383650.7,29
VADODARA,382692.7,30
THIRUVANANTHAPURAM,365516.43,31
DEHRADUN,353018.55,32
BANGALORE,340582.71,33
GREATER NOIDA,338934.72,34
KANPUR,326246.36,35
INDORE,304395.48,36
KALYAN,292498.15,37
BHOPAL,291985.27,38
SECUNDERABAD,277887.2,39
RANCHI,267588.73,40
VIJAYAWADA,263645.18,41
New Delhi,263166.99,42
SURAT,241328.82,43
MYSURU,240495.79,44
ERNAKULAM,237174.16,45
Kolkata,234891.83,46
GUNTUR,232477.45,47
MANGALURU,224311.75,48
VARANASI,222461.09,49
NASHIK,206068.8,50
VASAI VIRAR,184904.18,51
CHANDIGARH,182296.05,52
ALLAHABAD,181008.3,53
MOHALI,174334.9,54
JAMSHEDPUR,172093.44,55
JAMMU,155912.87,56
GORAKHPUR,148285.01,57
NEW TOWN,147581.91,58
AGRA,145265.73,59
MEERUT,144223.94,60
NELLORE,142463.77,61
IMPHAL,140131.04,62
PUDUCHERRY,133551.86,63
JALANDHAR,131959.66,64
LUDHIANA,128892.04,65
MADURAI,127561.87,66
RAIPUR,124131.34,67
TIRUPATI,123906.89,68
Noida,122607.03,69
PALAKKAD,116953.81,70
JABALPUR,115216.94,71
Ahmedabad,115182.86,72
KOZHIKODE,114847.15,73
DIMAPUR,114200.52,74
Delhi,114163.81,75
CUTTACK,112634.2,76
RAJKOT,109650.0,77
SRINAGAR,109380.81,78
Gurgaon,109168.11,79
THRISSUR,108384.86,80
UDAIPUR,105750.56,81
WARANGAL,105314.57,82
Thane,103569.06,83
HOWRAH,103528.8,84
GURGAON,101455.09,85
TIRUCHIRAPPALLI,99767.58,86
JODHPUR,99211.25,87
Lucknow,98348.52,88
SILIGURI,98228.25,89
BAREILLY,96954.03,90
KOCHI,96808.34,91
UDUPI,96687.48,92
SHIMLA,95303.28,93
Ghaziabad,94065.78,94
AURANGABAD,92741.1,95
GWALIOR,91540.91,96
KOTTAYAM,91370.44,97
ZIRAKPUR,90383.44,98
KAKINADA,90317.92,99
Secunderabad,88822.75,100
HUBBALLI,86604.8,101
ANANTAPUR,85558.83,102
SALEM,84411.2,103
PORT BLAIR,81449.44,104
Haldwani,81232.0,105
VELLORE,80776.86,106
AMRITSAR,80721.01,107
PANCHKULA,78667.19,108
hyderabad,78048.58,109
BELAGAVI,77933.86,110
PATHANAMTHITTA,77363.34,111
DURGAPUR,77359.11,112
DELHI,77086.27,113
KOLHAPUR,74040.07,114
BILASPUR,73921.24,115
ALIGARH,73251.57,116
KARIMNAGAR,71578.71,117
chennai,70445.53,118
KOLLAM,69475.58,119
CHITTOOR,67002.56,120
SONIPAT,66534.0,121
MUZAFFARPUR,65948.85,122
BOKARO STEEL CITY,65072.97,123
RAJAHMUNDRY,64916.52,124
GANDHINAGAR,64789.52,125
BIDHAN NAGAR,64586.53,126
SOLAPUR,64370.0,127
Faridabad,64214.52,128
mumbai,64055.47,129
SHILLONG,63871.7,130
ROURKELA,62804.22,131
KOTA,62727.15,132
BHILAI,62648.0,133
Jaipur,62242.14,134
KURNOOL,61226.57,135
Coimbatore,60184.81,136
Navi Mumbai,59988.1,137
Nagpur,59253.81,138
Vadodara,58836.52,139
pune,58722.48,140
DHANBAD,58421.22,141
JHANSI,58276.14,142
AGARTALA,57874.95,143
AMBARNATH,57742.43,144
Ernakulam,57591.16,145
Gurugram,57313.04,146
BERHAMPUR,57143.62,147
Thrissur,56614.37,148
AJMER,56246.65,149
TUMAKURU,55998.24,150
VASCO DA GAMA,54725.0,151
PATIALA,52345.68,152
KANNUR,52294.29,153
Visakhapatnam,50894.47,154
ASANSOL,50679.43,155
VIZIANAGARAM,50602.43,156
PANAJI,50130.57,157
KALABURGI,48517.48,158
RAXAUL BAZAR,47706.88,159
KALAMASSERY,47694.63,160
MARGAO,47668.29,161
LEH,47527.43,162
VAPI,47454.0,163
Dombivli,47336.0,164
AMRAVATI,46428.68,165
KANCHIPURAM,46097.43,166
ALWAR,45524.0,167
Bhubaneswar,45144.47,168
DAVANAGERE,45136.43,169
BARASAT,44640.43,170
TIRUNELVELI,44232.05,171
BURDWAN,43260.96,172
Dehradun,42596.93,173
TIRUPPUR,42533.86,174
BHIWANDI,42458.86,175
ONGOLE,42086.340000000004,176
NAGERCOIL,41877.92,177
GAYA,41762.0,178
BADLAPUR,41679.33,179
DHARWAD,41385.0,180
MATHURA,41083.86,181
MORADABAD,41049.53,182
BIKANER,40539.8,183
PANIPAT,40413.9,184
bangalore,39927.02,185
KADAPA,39597.57,186
ELURU,39543.97,187
AMBALA,39376.0,188
SHIVAMOGGA,39266.19,189
HISAR,38886.76,190
ITANAGAR,38851.52,191
ROHTAK,38469.34,192
SATARA,38438.48,193
ALAPPUZHA,38381.38,194
AHMADNAGAR,38299.0,195
NIZAMABAD,38294.71,196
FAIZABAD,37852.82,197
ROORKEE,37816.0,198
SAHARANPUR,37793.77,199
Ranchi,37466.67,200
HOSUR,37190.05,201
KARNAL,36118.0,202
MANDI,35659.44,203
AIZAWL,35560.81,204
BHARUCH,35346.96,205
New delhi,35222.0,206
PRODDATUR,34943.71,207
HARIDWAR,34938.05,208
HASSAN,34767.11,209
BHAGALPUR,34590.87,210
Kakkanad,34415.0,211
DIBRUGARH,34194.24,212
SILCHAR,34148.71,213
ANAND,33883.62,214
PORVORIM,33810.19,215
YAMUNANAGAR,33626.81,216
MALAPPURAM,33468.72,217
SANGLI MIRAJ KUPWAD,33417.81,218
BIDAR,33374.76,219
JALGAON,33144.0,220
Rewari,32649.29,221
REWA,32632.0,222
KHARAGPUR,32410.72,223
Nashik,32326.0,224
SHAHJAHANPUR,32076.77,225
PUDUPAKKAM,31727.84,226
THRIPPUNITHURA,31726.0,227
UJJAIN,31697.14,228
THANJAVUR,31689.0,229
BATHINDA,31670.95,230
Kochi,31667.58,231
KHAMMAM,31629.57,232
new delhi,31589.43,233
MUZAFFARNAGAR,31517.91,234
JORHAT,31491.09,235
JAMNAGAR,31470.48,236
kolkata,31352.29,237
BHILWARA,30971.92,238
GANGTOK,30866.0,239
Patna,30695.38,240
RAIGARH,30630.0,241
BALLY,30410.72,242
GAUTAM BUDDHA NAGAR,30333.77,243
Guwahati,30291.42,244
Greater Noida,30229.0,245
Surat,30183.8,246
PITHORAGARH,30175.86,247
MADHURAWADA,30019.15,248
ERODE,30009.47,249
NANDIVARAM GUDUVANCHERI,29664.42,250
Indore,29566.29,251
AKOLA,29350.72,252
KANGRA,29348.760000000002,253
MAPUSA,29301.0,254
KALADHUNGI,29184.96,255
NANDED WAGHALA,29112.24,256
CHANDRAPUR,28921.57,257
PRAYAGRAJ,28567.0,258
RISHIKESH,28188.33,259
SAGAR,28110.2,260
YAVATMAL,27902.4,261
BETTIAH,27832.89,262
THIRUVALLA,27828.19,263
TEZPUR,27720.04,264
DURG,27624.03,265
SRIKAKULAM,27404.29,266
BHIMAVARAM,27272.78,267
RAE BARELI,27204.27,268
SULTANPUR,27158.97,269
SAMBALPUR,27101.79,270
TURA,26911.05,271
SIBSAGAR,26825.0,272
BHIWADI,26797.95,273
MALDA,26729.48,274
CHIKKAMAGALURU,26492.19,275
VIJAPURA,26489.48,276
SOLAN,26464.0,277
Kottayam,26275.29,278
Ulhasnagar,25998.12,279
delhi,25735.62,280
THODUPUZHA,25724.27,281
MADHUBANI,25713.29,282
LATUR,25654.86,283
HOSKOTE,25623.0,284
HAZARIBAGH,25433.61,285
BHAVNAGAR,25343.0,286
OTTAPPALAM,25277.0,287
DARBHANGA,25117.85,288
Nellore,25048.0,289
ORAI,24871.91,290
Kalyan,24731.62,291
RAICHUR,24719.91,292
Kannur,24680.57,293
SOUTH WEST DELHI,24543.0,294
NAGAON,24409.0,295
Bhopal,24386.82,296
KANCHEEPURAM,24258.58,297
Mysore,24169.75,298
NAVSARI,24142.24,299
CHANGANACHERRY,23869.57,300
KATIHAR,23845.18,301
RAJPUR SONARPUR,23827.0,302
BAHADURGARH,23817.43,303
UNNAO,23656.72,304
VALSAD,23505.76,305
SANGAREDDY,23482.5,306
SATNA,23186.0,307
AZAMGARH,22990.0,308
MANDYA,22920.33,309
RUDRAPUR,22770.78,310
BARGARH,22738.32,311
PURNIA,22680.0,312
RATNAGIRI,22436.0,313
Madurai,22413.0,314
CHAMBA,22355.52,315
BARRACKPORE,22213.05,316
KORBA,22211.95,317
Vijayawada,21995.0,318
Allahabad,21922.67,319
ALMORA,21891.11,320
Thiruvananthapuram,21855.43,321
HAMIRPUR,21840.0,322
ADALAJ,21838.0,323
NALGONDA,21830.0,324
EAST DELHI,21664.14,325
ARAKONAM,21638.0,326
DARJEELING,21629.71,327
KOTHAMANGALAM,21596.29,328
SITAPUR,21397.24,329
RAMPUR,21323.1,330
BARABANKI,21183.86,331
UTTARPARA KOTRUNG,21130.36,332
GIRIDIH,21079.04,333
GONDIYA,21037.14,334
MUVATTUPUZHA,20832.62,335
ANAKAPALLE,20750.58,336
KURUKSHETRA,20690.0,337
Vellore,20689.67,338
JALNA,20632.19,339
NADIAD,20627.48,340
KENDUJHAR,20603.0,341
MOTIHARI,20570.81,342
VILLUPURAM,20467.0,343
NARASARAOPET,20460.82,344
LAKHIMPUR,20453.04,345
Trivandrum,20363.29,346
PANIHATI,20316.14,347
Cuttack,20242.0,348
CHALAKUDY,20228.95,349
BALLARI,20211.29,350
PUTTUR,20204.0,351
DHARMAPURI,20142.48,352
Howrah,20041.38,353
Kollam,19987.1,354
SAMASTIPUR,19952.0,355
BALLIA,19937.25,356
CHITRADURGA,19922.95,357
Agra,19912.0,358
Varanasi,19844.0,359
BHUJ,19804.0,360
ULLAL,19764.67,361
KUNNATHUNAD,19730.29,362
SOUTH GOA,19701.0,363
Kozhikode,19665.95,364
AMBIKAPUR,19491.0,365
Chandigarh,19403.0,366
JALPAIGURI,19294.0,367
SRI GANGANAGAR,19220.81,368
MEDINIPUR,19205.0,369
Mysuru,19187.0,370
PERUMBAVOOR,19158.1,371
NORTH GOA,19137.0,372
KARAIKAL,19122.0,373
Rajkot,19035.9,374
MORBI,19033.0,375
Gandhinagar,18992.8,376
SIWAN,18957.0,377
SIKAR,18467.39,378
BARIPADA,18405.86,379
BOISAR,18403.34,380
Mangalore,18397.36,381
KAMAREDDY,18332.0,382
UPPER TADONG,18325.95,383
TALEGAON DABHADE,18323.48,384
WARDHA,18298.43,385
BERHAMPORE,18269.0,386
PONDA,17874.14,387
GHAZIPUR,17858.43,388
GONDA,17839.86,389
Kanpur,17820.33,390
Dombivali,17809.57,391
Guntur,17798.0,392
HARDOI,17748.29,393
SUNDARGARH,17744.95,394
lucknow,17708.24,395
MADANAPALLE,17682.0,396
KARWAR,17504.81,397
TENKASI,17453.33,398
VAISHALI,17440.78,399
Udaipur,17404.15,400
BOLPUR,17335.76,401
THOUBAL,17258.0,402
MAHESANA,17254.28,403
TINSUKIA,17202.86,404
Palakkad,17189.96,405
BULANDSHAHR,17158.0,406
VARKALA,17142.0,407
KASARAGOD,17130.0,408
SIROHI,17059.0,409
CHHINDWARA,16995.0,410
BALESHWAR,16950.0,411
KARUR,16935.9,412
KOTDWARA,16933.0,413
Dombivli East,16896.0,414
DOHAD,16885.0,415
LONI,16773.0,416
NANDYAL,16768.15,417
KALIMPONG,16759.0,418
TIRUVANNAMALAI,16624.95,419
KARKAL,16610.0,420
TRIVANDRUM,16578.0,421
Panchkula,16556.0,422
BHANDARA,16542.0,423
Port Blair,16520.69,424
CHENGANNUR,16471.08,425
BIJNOR,16450.0,426
ARRAH,16430.0,427
GARHMUKTESHWAR,16297.76,428
Pathankot,16259.0,429
RAMAGUNDAM,16218.67,430
MACHILIPATNAM,16196.21,431
THOOTHUKKUDI,16132.0,432
CHERANALLUR,16106.48,433
CHIRALA,16067.0,434
BHARATPUR,16058.94,435
BASTI,15966.0,436
SITAMARHI,15963.68,437
TUMKUR,15952.619999999999,438
DULIAJAN,15948.0,439
MAUNATH BHANJAN,15893.19,440
Kota,15747.0,441
TADPATRI,15557.0,442
SIRSI,15537.0,443
NAHAN,15517.95,444
NAINITAL,15500.24,445
Jamshedpur,15465.39,446
NAGAPATTINAM,15426.380000000001,447
Warangal,15307.0,448
PILIBHIT,15282.43,449
SHAHDOL,15162.29,450
KOHIMA,15146.15,451
GURDASPUR,15092.0,452
DINDIGUL,15038.0,453
Meerut,15029.0,454
Gorakhpur,14996.1,455
GUDUR,14935.0,456
PHAGWARA,14933.04,457
PALAMPUR,14854.29,458
THANE West,14843.71,459
MYSORE,14840.71,460
JAUNPUR,14817.86,461
Mohali,14786.0,462
SURENDRANAGAR,14776.48,463
DHULE,14705.0,464
Payyanur,14703.0,465
Siliguri,14657.0,466
NAMCHI,14639.33,467
MAHENDRAGARH,14619.0,468
Aluva,14599.19,469
BAHRAICH,14589.91,470
MAHBUBNAGAR,14478.96,471
NADBAI,14470.25,472
MURWARA KATNI,14368.95,473
KRISHNAGIRI,14358.86,474
CURCHOREM,14287.93,475
KENDRAPARA,14258.0,476
ALUVA,14234.38,477
TIRUVALLUR,14215.0,478
BANDA,14180.38,479
JAGDALPUR,14173.0,480
Pimpri Chinchwad,14113.0,481
PURI,14074.54,482
COLVALE,14057.0,483
NORTH GUWAHATI,14044.0,484
KALYANI,14022.0,485
GOLAGHAT,13911.29,486
UTTAR BAGDOGRA,13910.9,487
BAGALKOT,13907.380000000001,488
KORAPUT,13880.57,489
Jalandhar,13875.95,490
THALASSERY,13844.28,491
UTTARKASHI,13807.0,492
BEAWAR,13757.0,493
GANDHIDHAM,13670.96,494
VIRUDHUNAGAR,13645.86,495
BEGUSARAI,13636.77,496
VRINDAVAN,13632.11,497
Mathura,13614.24,498
SINGTAM,13599.25,499
BHIWANI,13599.14,500
Hosur,13582.0,501
Erode,13567.28,502
CHAPRA,13561.83,503
NUZVID,13537.43,504
DHARMSALA,13525.48,505
MANGALAGIRI,13508.0,506
KUMBAKONAM,13497.0,507
HOSAPETE,13394.67,508
PARAVUR,13305.34,509
SOHNA,13295.0,510
HIMMATNAGAR,13276.0,511
KATHUA,13269.57,512
RAMANATHAPURAM,13251.48,513
HOSHIARPUR,13218.36,514
VISNAGAR,13186.28,515
CALANGUTE,13185.67,516
BALAGHAT,13141.0,517
BUDAUN,13122.48,518
PAONTA SAHIB,13075.130000000001,519
DEORIA,13067.0,520
DHENKANAL,13056.24,521
MADIKERI,13023.0,522
JAGTIAL,13020.0,523
BANKURA,13015.95,524
IBRAHIMPATNAM,12983.0,525
ETTUMANOOR,12913.0,526
Navi mumbai,12869.0,527
VADAKARA,12867.52,528
KALPETTA,12863.19,529
RAYAGADA RAYAGADA DISTRICT,12778.0,530
MEDAK,12717.0,531
UDHAMPUR,12688.0,532
CHENGALPATTU,12682.0,533
PIRANGUT,12652.0,534
RANGPO,12587.0,535
ANKLESHWAR,12564.0,536
KASHIPUR,12520.14,537
RATLAM,12506.58,538
KULGAM,12474.29,539
THANE west,12457.63,540
Pondicherry,12454.380000000001,541
HOJAI,12422.0,542
NORTH 24 PARGANAS,12407.76,543
ANUGUL,12402.54,544
SOUTH DELHI,12337.43,545
NAGAUR,12330.43,546
DIGBOI,12318.0,547
DEOGHAR,12302.0,548
NAHARLAGUN,12271.0,549
SEHORE,12267.57,550
Dhanbad,12252.0,551
SRIKALAHASTI,12236.0,552
DAMOH,12204.0,553
OSMANABAD,12150.24,554
ETAWAH,12131.64,555
GREATER NOIDA WEST,12117.2,556
PALGHAR,12115.67,557
SERAMPORE,12045.0,558
ARARIA,12019.0,559
KHANDWA,12006.0,560
Jabalpur,11995.0,561
KANNIYAKUMARI,11964.95,562
KOLAR,11921.24,563
ahmedabad,11899.0,564
CHERTHALA,11876.0,565
TIRUR,11847.58,566
KHARGONE,11830.0,567
JIND,11814.0,568
Jhansi,11784.54,569
FARRUKHABAD,11753.0,570
CUDDALORE,11743.67,571
Jodhpur,11733.19,572
Thanjavur,11711.52,573
DEVANAHALLI,11709.0,574
GUNA,11677.0,575
Kharar,11671.0,576
MANCHERIAL,11636.619999999999,577
gurgaon,11616.0,578
NAMAKKAL,11578.71,579
Greater Noida West,11556.86,580
CONTAI,11555.48,581
GADAG BETIGERI,11499.93,582
CHAIBASA,11461.95,583
KOCH BIHAR,11418.96,584
KARAIKKUDI,11392.76,585
RAJNANDGAON,11389.62,586
HALDIA,11380.380000000001,587
PUDUKKOTTAI,11363.25,588
TALEGAON MIDC,11341.29,589
ROBERTSONPET,11328.0,590
THIRUVALLUR,11308.0,591
TENALI,11299.11,592
Port blair,11293.11,593
