order_id,date_id,product_id,customer_id,region_id,qty,amount
405-8078784-5731545,1,1,1,1,0.0,647.62
171-9198151-1101146,1,2,2,2,1.0,406.0
404-0687676-7273146,1,3,3,1,1.0,329.0
403-9615377-8133951,1,4,4,3,0.0,753.33
407-1069790-7240320,1,5,5,4,1.0,574.0
404-1490984-4578765,1,6,6,5,1.0,824.0
408-5748499-6859555,1,7,7,6,1.0,653.0
406-7807733-3785945,1,8,8,7,1.0,399.0
407-5443024-5233168,1,9,9,7,0.0,
402-4393761-0311520,1,10,10,4,1.0,363.0
407-5633625-6970741,1,11,5,4,1.0,685.0
171-4638481-6326716,1,12,11,5,1.0,364.0
405-5513694-8146768,1,13,12,1,1.0,399.0
408-7955685-3083534,1,14,13,1,1.0,657.0
408-1298370-1920302,1,15,13,1,1.0,771.0
403-4965581-9520319,1,16,14,8,1.0,544.0
406-9379318-6555504,1,17,15,9,1.0,329.0
405-9013803-8009918,1,18,16,10,1.0,399.0
402-4030358-5835511,1,19,17,11,1.0,458.0
405-5957858-1051546,1,20,18,2,1.0,886.0
405-0607769-0716360,1,21,19,4,1.0,517.0
404-8494550-5860325,1,22,20,2,1.0,666.0
171-1305077-2813934,1,23,21,7,1.0,376.0
404-6019946-2909948,1,24,22,1,0.0,570.48
402-3384087-4005164,1,25,23,12,1.0,499.0
405-8191138-5176316,1,26,24,13,1.0,582.0
403-9230474-9657916,1,27,25,14,1.0,299.0
408-3484251-6901959,1,28,26,1,1.0,459.0
405-7755803-4729935,1,29,27,2,1.0,399.0
404-5933402-8801952,1,30,28,12,0.0,
171-9040274-9291563,1,31,29,4,1.0,791.0
403-7056319-0979561,1,32,30,5,1.0,499.0
404-9632124-1107550,1,33,31,8,1.0,1233.0
402-1465437-0579556,1,34,32,15,1.0,517.0
404-7774085-3780319,1,35,33,7,1.0,376.0
402-2764952-1492318,1,36,34,5,1.0,499.0
406-0272200-7784379,1,37,35,4,1.0,666.0
